MONTH,UE_BENEFITS_WEB_SEARCH,UNRATE
2004-01,20,5.7
2004-02,17,5.6
2004-03,14,5.8
2004-04,14,5.6
2004-05,14,5.6
2004-06,15,5.6
2004-07,12,5.5
2004-08,14,5.4
2004-09,11,5.4
2004-10,11,5.5
2004-11,12,5.4
2004-12,11,5.4
2005-01,13,5.3
2005-02,12,5.4
2005-03,12,5.2
2005-04,9,5.2
2005-05,11,5.1
2005-06,11,5
2005-07,12,5
2005-08,10,4.9
2005-09,12,5
2005-10,10,5
2005-11,11,5
2005-12,10,4.9
2006-01,11,4.7
2006-02,10,4.8
2006-03,10,4.7
2006-04,10,4.7
2006-05,10,4.6
2006-06,12,4.6
2006-07,13,4.7
2006-08,11,4.7
2006-09,11,4.5
2006-10,11,4.4
2006-11,12,4.5
2006-12,11,4.4
2007-01,16,4.6
2007-02,14,4.5
2007-03,13,4.4
2007-04,15,4.5
2007-05,15,4.4
2007-06,16,4.6
2007-07,18,4.7
2007-08,17,4.6
2007-09,16,4.7
2007-10,18,4.7
2007-11,16,4.7
2007-12,19,5
2008-01,21,5
2008-02,20,4.9
2008-03,20,5.1
2008-04,23,5
2008-05,21,5.4
2008-06,29,5.6
2008-07,26,5.8
2008-08,27,6.1
2008-09,37,6.1
2008-10,50,6.5
2008-11,62,6.8
2008-12,60,7.3
2009-01,80,7.8
2009-02,85,8.3
2009-03,67,8.7
2009-04,60,9
2009-05,57,9.4
2009-06,62,9.5
2009-07,63,9.5
2009-08,65,9.6
2009-09,65,9.8
2009-10,74,10
2009-11,73,9.9
2009-12,62,9.9
2010-01,61,9.8
2010-02,61,9.8
2010-03,68,9.9
2010-04,62,9.9
2010-05,53,9.6
2010-06,73,9.4
2010-07,100,9.4
2010-08,46,9.5
2010-09,37,9.5
2010-10,38,9.4
2010-11,42,9.8
2010-12,58,9.3
2011-01,45,9.1
2011-02,41,9
2011-03,36,9
2011-04,35,9.1
2011-05,33,9
2011-06,36,9.1
2011-07,34,9
2011-08,36,9
2011-09,34,9
2011-10,31,8.8
2011-11,29,8.6
2011-12,33,8.5
2012-01,33,8.3
2012-02,30,8.3
2012-03,24,8.2
2012-04,26,8.2
2012-05,25,8.2
2012-06,27,8.2
2012-07,30,8.2
2012-08,26,8.1
2012-09,27,7.8
2012-10,27,7.8
2012-11,29,7.7
2012-12,49,7.9
2013-01,47,8
2013-02,28,7.7
2013-03,27,7.5
2013-04,24,7.6
2013-05,27,7.5
2013-06,27,7.5
2013-07,26,7.3
2013-08,23,7.2
2013-09,26,7.2
2013-10,29,7.2
2013-11,22,6.9
2013-12,31,6.7
2014-01,84,6.6
2014-02,64,6.7
2014-03,50,6.7
2014-04,49,6.2
2014-05,32,6.3
2014-06,28,6.1
2014-07,22,6.2
2014-08,19,6.1
2014-09,19,5.9
2014-10,19,5.7
2014-11,17,5.8
2014-12,16,5.6
2015-01,18,5.7
2015-02,15,5.5
2015-03,17,5.4
2015-04,15,5.4
2015-05,13,5.6
2015-06,15,5.3
2015-07,16,5.2
2015-08,16,5.1
2015-09,14,5
2015-10,14,5
2015-11,14,5.1
2015-12,15,5
2016-01,18,4.8
2016-02,16,4.9
2016-03,14,5
2016-04,13,5.1
2016-05,16,4.8
2016-06,15,4.9
2016-07,14,4.8
2016-08,13,4.9
2016-09,14,5
2016-10,14,4.9
2016-11,13,4.7
2016-12,13,4.7
2017-01,15,4.7
2017-02,14,4.6
2017-03,13,4.4
2017-04,12,4.4
2017-05,12,4.4
2017-06,12,4.3
2017-07,14,4.3
2017-08,14,4.4
2017-09,13,4.3
2017-10,12,4.2
2017-11,12,4.2
2017-12,12,4.1
2018-01,15,4
2018-02,12,4.1
2018-03,10,4
2018-04,11,4
2018-05,10,3.8
2018-06,11,4
2018-07,12,3.8
2018-08,10,3.8
2018-09,9,3.7
2018-10,12,3.8
2018-11,11,3.8
2018-12,12,3.9
2019-01,15,4
2019-02,12,3.8
2019-03,11,3.8
2019-04,12,3.6
2019-05,11,3.6
2019-06,12,3.6
2019-07,13,3.7
2019-08,11,3.7
2019-09,11,3.5
2019-10,12,3.6
2019-11,12,3.6
2019-12,13,3.6
